Arabic,English,Transliteration,Category,Example
مَرْحَبًا,Hello,Marhaban,Greeting,مَرْحَبًا — used to greet someone warmly
سَلَام,Peace,Salam,Greeting,السَّلَامُ عَلَيْكُم — Peace be upon you
شُكْرًا,Thank you,Shukran,Expression,شُكْرًا جَزِيلًا — Thank you very much
نَعَم,Yes,Na'am,Basic,نَعَم — affirmative response
لَا,No,La,Basic,لَا — negative response
كِتَاب,Book,Kitab,Noun,هَذَا كِتَاب — This is a book
مَاء,Water,Ma',Noun,أُرِيدُ مَاء — I want water
بَيْت,House,Bayt,Noun,بَيْتِي — My house
رَجُل,Man,Rajul,Noun,رَجُل كَبِير — An old man
اِمْرَأَة,Woman,Imra'ah,Noun,اِمْرَأَة جَمِيلَة — A beautiful woman
يَوْم,Day,Yawm,Time,يَوْم جَمِيل — A beautiful day
لَيْل,Night,Layl,Time,لَيْل سَاكِن — A quiet night
شَمْس,Sun,Shams,Nature,الشَّمْس مُشْرِقَة — The sun is shining
قَمَر,Moon,Qamar,Nature,الْقَمَر جَمِيل — The moon is beautiful
حُب,Love,Hubb,Feeling,أُحِبُّك — I love you
جَيِّد,Good,Jayyid,Adjective,وَلَد جَيِّد — A good boy
صَدِيق,Friend,Sadiq,Noun,صَدِيقِي — My friend
طَعَام,Food,Ta'am,Noun,الطَّعَام لَذِيذ — The food is delicious
عِلْم,Knowledge,Ilm,Noun,طَلَبُ الْعِلْم — Seeking knowledge
جَزَاكَ اللهُ خَيْرًا,May Allah reward you,Jazakallahu Khayran,Expression,جَزَاكَ اللهُ خَيْرًا — a common way to say thank you
